Name,Dirección,Ciudad,Provincia,LATITUD,LONGITUD
COMERCIAL RANQUELES,AVDA. 9 DE JULIO  Y RANQUELES,CORONEL MOLDES,Córdoba,-33.6263195,-64.6038385
NTI 2019 - AGROPETROLERA CHAJARI,AV. DR. CASILLAS 1010,CHAJARI,Entre Rios,-30.7617471,-58.0117228
AGROPETROLERA CHAJARI SRL,ENTRE RIOS 997,CONCORDIA,Entre Rios,-31.3906779,-58.0171817
AGROPETROLERA CHAJARI SRL,"RUTA NAC.14 KM.320,8",CHAJARI,Entre Rios,-30.8185030,-58.0442480
ALABERT MARIA ANTONIA,RUTAS 81 Y 11,FORMOSA,Formosa,-26.1151314,-58.2283688
AGROENERGIA S A,AV CIRCUNVALACION Y CALLE SCHMIDT,SANTA ROSA,La Pampa,-36.6436110,-64.2772220
ALGAR SRL,MITRE Y SAN LORENZO,SAN MIGUEL - GBA,Buenos Aires,-34.5374470,-58.7072580
ALLI VAMOS SA,DIRECTORIO 1394 Y   CALLAO,TORTUGUITAS - GBA,Buenos Aires,-34.4638588,-58.7442385
ALVAREZ OSCAR NORBERTO Y RADAMES,MENDOZA 205,MORON - GBA,Buenos Aires,-34.6461605,-58.6224096
FGC Fuels Marketing SA,AV. REPUBLICA Y COLOMBRES 280,RAMOS MEJIA - GBA,Buenos Aires,-34.6373580,-58.5528870
AMULEM SA,RUTA NAC. 3 KM. 1262,SIERRA GRANDE,Rio Negro,-41.6125870,-65.3534031
ANCONETANI NORBERTO JORGE ,TUCUMAN ESQ.VIQUEIRA,BELL VILLE,Córdoba,-32.6288220,-62.6933530
ANDRICH E HIJOS SC,AV COLON 1588,OLAVARRIA,Buenos Aires,-36.8816670,-60.3275000
ESTACIÓN RAMOS SA,AVDA DE MAYO 1601 - ESQUINA PASCO,RAMOS MEJIA - GBA,Buenos Aires,-34.6571639,-58.5627433
COMERCIAL ARGON SA,PERU 1310,MENDOZA,Mendoza,-32.8866170,-68.8479170
ARRATE JOSE LUIS,CALLE 59 ESQ. 80,NECOCHEA,Buenos Aires,-38.5458330,-58.7497220
ARROYITOS SERVICIOS SA,RUTA NAC. 19 KM.222,ARROYITO,Córdoba,-31.4218521,-63.0372620
PAINEN S.R.L,AV. FERNANDEZ ORO   Y SARMIENTO,CIPOLLETTI,Rio Negro,-38.9416670,-67.9943670
PAINEN S.R.L,RIVADAVIA Y M.      MORENO,CIPOLLETTI,Rio Negro,-38.9324170,-68.0081830
ATALAYA SRL,RUTA NAC. 9 KM 463 ,LEONES,Córdoba,-32.6536754,-62.2933711
ATREUCO PUEL SA,RUTA 74 Y CALLE 26,GENERAL MADARIAGA,Buenos Aires,-37.0181219,-57.1166559
BAIGAS SRL,BAIGORRIA 1870,ROSARIO,Santa Fe,-32.8937460,-60.7074560
CORS LOS INCAS,AVDA. LOS INCAS 3550,CAPITAL FED ZONA 5,Capital Federal,-34.5750780,-58.4629780
OSCAR EMILIO BARRAZA SRL,LAS HERAS 611,GRAL LAMADRID,Buenos Aires,-37.2460000,-61.2638100
BASAVILBASO SRL,ESTRADA 806,BASAVILBASO,Entre Rios,-32.3701270,-58.8866800
BIFUEL SRL,RECTA MARTINOLI 7365,ARGUELLO,Córdoba,-31.3478760,-64.2649750
BELZA ANDRES CARLOS   Ruta 7,FALUCHO Y AV PARQUE,SAN LUIS,San Luis,-33.3164180,-66.3409080
BELZA ANDRES CARLOS   Ruta 3,RUTA PROV. 3 Y ESQ. AV. COSTANERA,SAN LUIS,San Luis,-33.3138890,-66.3294440
SERVICENTRO EL BEBE SRL,RUTA 22 KM. 856,RIO COLORADO,Rio Negro,-38.9865000,-64.1153000
BERSAV SRL SUCESOR DE 155374,RUTA PROV. NRO. 1 KM 38,SANTA ROSA,Santa Fe,-31.4192963,-60.3387451
BERTOLA MARTA MARGARITA,RUTA NAC  7 KM 487,LABOULAYE,Córdoba,-34.1483330,-63.3652780
CHAVARINI JOSE LUIS ,SAN MARTIN 911,SAN CARLOS SUD,Santa Fe,-31.7619583,-61.1015194
BOLONESE ROBERTO DANIEL,AVENIDA SARMIENTO 93,CHIVILCOY,Buenos Aires,-34.8987740,-60.0166600
DELALOMA S.A - SUCESOR DE 155419,RUTA NACIONAL 34 Y  ACCESO,SAN VICENTE,Santa Fe,-31.7020280,-61.5539070
BORTOLON Y URQUIZA - Porteña,25 DE MAYO Y PASAJE COLON,PORTEÑA,Córdoba,-31.0114556,-62.0688972
CRESPO SERVICIOS SRL,RUTA NACIONAL 11 KM 620,GOBERNADOR CRESPO,Santa Fe,-30.3685379,-60.3995991
UNICOMB SRL,FALCON RAMON L CNEL 6398,CAPITAL FED ZONA 5,Capital Federal,-34.6406230,-58.5168800
CORS MASCHWITZ - 164628,AV. VILLANUEVA Y RUTA 9,MASCHWITZ - GBA,Buenos Aires,-34.3947469,-58.7394264
GASPAR BRANDEMANN SRL,DIAGONAL 9 DE JULIO 1275,EDUARDO CASTEX,La Pampa,-35.9138171,-64.3021691
ALVAREZ DARIO BERNARDO,SAN MARTIN 830,GRAL SAN MARTIN - GBA,Buenos Aires,-34.5871980,-58.5261450
SERVICENTRO MALARGÜE,RUTA NAC. 40 Y CALLE PUBLICA,MALARGUE,Mendoza,-35.4559038,-69.5862583
CARNICER MICHAEL DANIEL (Tucuman I),AV. ROCA 3450,S M DEL TUCUMAN,Tucumán,-26.8350410,-65.2510071
CARNICER MICHAEL DANIEL,"CALLE E.CASTELLAR, 1003 Y SUIPACHA",S M DEL TUCUMAN,Tucumán,-26.7960358,-65.2052593
CARIONI RUBEN JOSE RAMON,BV.INT.SAVINO JUAN  GIAVENO 011,BRINCKMANN,Córdoba,-30.8642537,-62.0370807
CARLOS NESTOR FABIAN,AVELLANEDA Y NEUQUEN,PEHUAJO,Buenos Aires,-35.8120330,-61.8863880
JOMALI SRL,CALLE 899 2690(DON.ALVAREZ/IRIARTE),SAN FRANCISCO SOLANO  - GBA,Buenos Aires,-34.7730114,-58.3230212
COMBUSTIBLES EL TREBOL SAS,RUTA NAC.7-KM.694,MERCEDES,San Luis,-33.6482360,-65.4405920
CATAMARCA COMBUSTIBLES SRL,AV. GUEMES Y JUNIN,CATAMARCA,Catamarca,-28.4758568,-65.7825279
CEFARELLI ROBERTO A Y CEFARELLI A T,AV SAN MARTIN 5399,ROSARIO,Santa Fe,-32.9997070,-60.6483740
CENTRO DE SERVICIOS SAN FRANCISCO,AVDA RAWSON NORTE 1251,SAN JUAN,San Juan,-31.5179330,-68.5168000
CENTROMAR SA,BVARD. SILVIO GESELL Y PASEO 107,VILLA GESELL,Buenos Aires,-37.2541550,-56.9785700
CHAVARINI JOSE LUIS ,SAN MARTIN Y GUEMES,SAN JERONIMO NORTE,Santa Fe,-31.5509611,-61.0768056
CIFAMA SRL,"RUTA 5 KM 66,200",LUJAN - GBA,Buenos Aires,-34.5835680,-59.1016630
CIUDAD DE EZEIZA SRL,"RUTA 205 - KM. 33,5",EZEIZA - GBA,Buenos Aires,-34.8498149,-58.5169176
CLAVERO SEBASTIAN ALDO Y OTROS,RUTA NAC. 40 Y RUTA PROV. 319,MEDIA AGUA,San Juan,-31.9798333,-68.4406667
COLLIARD Jose Luis,S. MARTIN Y AMEGHINO,BARADERO,Buenos Aires,-33.8180020,-59.5122470
ROBERTS COMBUSTIBLES SA,GARCIA TUÑON 802,LINCOLN,Buenos Aires,-34.8606325,-61.5390332
COMBYLU SA,CALLE 28 NRO. 5,LA PLATA,Buenos Aires,-34.9205997,-57.9904332
COMBUSTIBLES VILLA MARIA SA,BUENOS AIRES 2100   E INTEND. ARINE,VILLA MARIA,Córdoba,-32.4033890,-63.2317000
COMPIL SRL,9 DE JULIO 202,PILAR - GBA,Buenos Aires,-34.4504347,-58.9062005
CLAVERO ROGELIO E HIJOS SOC DE,J.I DE LA ROSA ESQ. P.A.DE SARMIENT,SAN JUAN,San Juan,-31.5381798,-68.5514257
CRE-AN SA,AV.ROCA (RUTA 201)  ESQ.PASO MORALE,HURLINGHAM - GBA,Buenos Aires,-34.5751928,-58.6463851
CRISMI COMBUSTIBLES SRL,M. BELGRANO 802,PDCIA R S PEÑA,Chaco,-26.7852780,-60.4385309
CRUCESITA SA,AV. MITRE 1270/92,AVELLANEDA - GBA,Buenos Aires,-34.6650079,-58.3593992
BALSUAR 3 SRL - Sucesor de 217337,BV. B. DE IRIGOYEN  Y JUAN DE GARAY,CERES,Santa Fe,-29.8798180,-61.9460678
59 SA,AV. SANTA FE 2428,MARTINEZ - GBA,Buenos Aires,-34.4928850,-58.4984010
DANIELE OMAR JUAN Y EDELMO ARIEL ,BV. H. YRIGOYEN 1101ESQUINA MORENO,MORTEROS,Córdoba,-30.7135690,-62.0043150
DEL NORDESTE SA,AVDA. TAMBOR DE     TACUARI 4951,POSADAS,Misiones,-27.3681620,-55.9245180
DE MARTINO CARLOS ALBERTO ,MORENO Y BELGRANO,OLAVARRIA,Buenos Aires,-36.8938440,-60.3208060
JULIO MARTIN DE SAUTU              AVENIDA,H.IRIGOYEN 200,PERGAMINO,Buenos Aires,-33.8955201,-60.5638472
GESAL SA (Villa Mercerdes),LAVALLE E IRIGOYEN,MERCEDES,San Luis,-33.6873846,-65.4654247
ARGENFUEL,AV. GAONA 502,RAMOS MEJIA - GBA,Buenos Aires,-34.6384430,-58.5727220
CARDINAL SRL,AV.RIVADAVIA OESTE 595 Y BELGRANO,SANTIAGO DEL ESTERO,Santiago del Estero,-27.7843857,-64.2660999
DON EDUARDO SRL,PASAJE MITRE Y RUTA 19,DEVOTO,Córdoba,-31.4074100,-62.3098180
DUNCUE SRL,HIPOLITO YRIGOYEN   Y ACCESO A TIGR (HIP. YRI 3400),SAN FERNANDO  - GBA,Buenos Aires,-34.4526406,-58.5742120
MITRE 1630 SRL SUC 156117,AV. MITRE 1630,FLORIDA - GBA,Buenos Aires,-34.5347785,-58.5095039
EL REGRESO SRL,DANERI Y URQUIZA,GUALEGUAYCHU,Entre Rios,-33.0094960,-58.5365230
SERVICIOS LUARCA SA - Emfaco Leloir,AV.J D PERON ESQ DE LA TROPILLA,PARQUE LELOIR - GBA,Buenos Aires,-34.6283200,-58.6905680
EMFACO SA San Justo,AV. ILLIA Y PERON,SAN JUSTO - GBA,Buenos Aires,-34.6728086,-58.5611397
EMFACO SA - Barcala Gaona,AV. GAONA Y BARCALA,ITUZAINGO - GBA,Buenos Aires,-34.6346724,-58.6677742
